Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
RC201,50,50,8,1000.0,3841.5419,2330.8133,800,710.7286,100,2,Heuristic

Véhicule,Route,Distance,Demande
0,0 -> 33 -> 19 -> 18 -> 20 -> 24 -> 48 -> 0,172.4173,100.0
1,0 -> 5 -> 11 -> 12 -> 3 -> 1 -> 0,175.3419,110.0
2,0 -> 2 -> 44 -> 7 -> 41 -> 43 -> 17 -> 0,266.9069,120.0
3,0 -> 14 -> 28 -> 29 -> 37 -> 0,222.8673,40.0
4,0 -> 36 -> 47 -> 21 -> 22 -> 46 -> 0,288.6341,110.0
5,0 -> 27 -> 30 -> 38 -> 40 -> 34 -> 26 -> 32 -> 4 -> 0,322.0901,200.0
6,0 -> 39 -> 23 -> 8 -> 6 -> 9 -> 50 -> 13 -> 25 -> 0,455.9895,150.0
7,0 -> 45 -> 42 -> 31 -> 15 -> 16 -> 49 -> 10 -> 35 -> 0,426.5662,140.0
